model	secs_taken	Score_False	Score_True	num_runs	success_rate	failure_rate	mean_score	variance	trace_id
gpt-4.1-mini	15.0	0	5	5	1.0	0.0	1.0	0.0	market_research_driven_hiring_MKT-001_20260216_223038
o4-mini	42.2	0	5	5	1.0	0.0	1.0	0.0	market_research_driven_hiring_MKT-001_20260216_223038
gpt-5	132.8	0	4	4	1.0	0.0	1.0	0.0	market_research_driven_hiring_MKT-001_20260216_223038
gpt-4.1-nano	8.0	5	0	5	0.0	1.0	0.0	0.0	single_tool_execution_EVAL-001_20260216_164213
gpt-4o	12.3	5	0	5	0.0	1.0	0.0	0.0	single_tool_execution_EVAL-001_20260216_164213
gpt-4.1	12.3	5	0	5	0.0	1.0	0.0	0.0	single_tool_execution_EVAL-001_20260216_164213
gpt-4.1-mini	15.3	5	0	5	0.0	1.0	0.0	0.0	single_tool_execution_EVAL-001_20260216_164213
gpt-5.1	16.4	5	0	5	0.0	1.0	0.0	0.0	single_tool_execution_EVAL-001_20260216_164213
o4-mini	33.8	5	0	5	0.0	1.0	0.0	0.0	single_tool_execution_EVAL-001_20260216_164213
gpt-5	90.7	5	0	5	0.0	1.0	0.0	0.0	single_tool_execution_EVAL-001_20260216_164213
gpt-4.1-nano	7.3	5	0	5	0.0	1.0	0.0	0.0	urgent_hiring_with_constraints_PLAN-002_20260224_235216
gpt-4o	9.4	5	0	5	0.0	1.0	0.0	0.0	urgent_hiring_with_constraints_PLAN-002_20260224_235216
gpt-4.1	11.3	5	0	5	0.0	1.0	0.0	0.0	urgent_hiring_with_constraints_PLAN-002_20260224_235216
gpt-4.1-mini	15.2	1	4	5	0.8	0.2	0.8	0.16000000000000003	urgent_hiring_with_constraints_PLAN-002_20260224_235216
gpt-5.1	16.2	5	0	5	0.0	1.0	0.0	0.0	urgent_hiring_with_constraints_PLAN-002_20260224_235216
o4-mini	40.6	5	0	5	0.0	1.0	0.0	0.0	urgent_hiring_with_constraints_PLAN-002_20260224_235216
gpt-5	118.3	5	0	5	0.0	1.0	0.0	0.0	urgent_hiring_with_constraints_PLAN-002_20260224_235216
gpt-4.1-nano	6.8	0	5	5	1.0	0.0	1.0	0.0	single_agent_sequence_SRC-001_20260216_193128
gpt-4o	7.9	0	5	5	1.0	0.0	1.0	0.0	single_agent_sequence_SRC-001_20260216_193128
gpt-4.1	8.2	1	4	5	0.8	0.2	0.8	0.16000000000000003	single_agent_sequence_SRC-001_20260216_193128
gpt-4.1-mini	12.3	0	5	5	1.0	0.0	1.0	0.0	single_agent_sequence_SRC-001_20260216_193128
gpt-5.1	14.5	4	1	5	0.2	0.8	0.2	0.16000000000000003	single_agent_sequence_SRC-001_20260216_193128
o4-mini	31.3	5	0	5	0.0	1.0	0.0	0.0	single_agent_sequence_SRC-001_20260216_193128
gpt-5	80.6	5	0	5	0.0	1.0	0.0	0.0	single_agent_sequence_SRC-001_20260216_193128
gpt-4.1-nano	6.7	2	3	5	0.6	0.4	0.6	0.24	function_aggregator_MS-002_20260216_192629
gpt-4o	7.7	0	5	5	1.0	0.0	1.0	0.0	function_aggregator_MS-002_20260216_192629
gpt-4.1	10.8	0	5	5	1.0	0.0	1.0	0.0	function_aggregator_MS-002_20260216_192629
gpt-4.1-mini	11.7	0	5	5	1.0	0.0	1.0	0.0	function_aggregator_MS-002_20260216_192629
gpt-5.1	12.7	4	1	5	0.2	0.8	0.2	0.16000000000000003	function_aggregator_MS-002_20260216_192629
o4-mini	38.7	3	2	5	0.4	0.6	0.4	0.24	function_aggregator_MS-002_20260216_192629
gpt-5	104.5	2	3	5	0.6	0.4	0.6	0.24	function_aggregator_MS-002_20260216_192629
gpt-4.1-nano	6.0	1	4	5	0.8	0.2	0.8	0.16000000000000003	fan_out_fan_in_topology_MS-002_20260216_161500
gpt-4o	6.8	3	2	5	0.4	0.6	0.4	0.24	fan_out_fan_in_topology_MS-002_20260216_161500
gpt-5.1	10.5	4	1	5	0.2	0.8	0.2	0.16000000000000003	fan_out_fan_in_topology_MS-002_20260216_161500
gpt-4.1-mini	12.1	0	5	5	1.0	0.0	1.0	0.0	fan_out_fan_in_topology_MS-002_20260216_161500
gpt-4.1	16.5	0	5	5	1.0	0.0	1.0	0.0	fan_out_fan_in_topology_MS-002_20260216_161500
o4-mini	41.1	5	0	5	0.0	1.0	0.0	0.0	fan_out_fan_in_topology_MS-002_20260216_161500
gpt-5	99.1	5	0	5	0.0	1.0	0.0	0.0	fan_out_fan_in_topology_MS-002_20260216_161500
gpt-4.1-nano	6.3	0	5	5	1.0	0.0	1.0	0.0	complex_dag_topology_E2E-001_20260216_161546
gpt-4o	8.7	5	0	5	0.0	1.0	0.0	0.0	complex_dag_topology_E2E-001_20260216_161546
gpt-4.1	9.5	5	0	5	0.0	1.0	0.0	0.0	complex_dag_topology_E2E-001_20260216_161546
gpt-4.1-mini	12.6	0	5	5	1.0	0.0	1.0	0.0	complex_dag_topology_E2E-001_20260216_161546
gpt-5.1	14.9	5	0	5	0.0	1.0	0.0	0.0	complex_dag_topology_E2E-001_20260216_161546
o4-mini	56.3	4	1	5	0.2	0.8	0.2	0.16000000000000003	complex_dag_topology_E2E-001_20260216_161546
gpt-5	115.9	4	0	4	0.0	1.0	0.0	0.0	complex_dag_topology_E2E-001_20260216_161546
gpt-4.1-nano	6.3	3	2	5	0.4	0.6	0.4	0.24	bad_specialist_ignores_result_EVAL-001_20260216_164906
gpt-4o	7.8	5	0	5	0.0	1.0	0.0	0.0	bad_specialist_ignores_result_EVAL-001_20260216_164906
gpt-4.1	10.0	4	1	5	0.2	0.8	0.2	0.16000000000000003	bad_specialist_ignores_result_EVAL-001_20260216_164906
gpt-5.1	12.2	5	0	5	0.0	1.0	0.0	0.0	bad_specialist_ignores_result_EVAL-001_20260216_164906
gpt-4.1-mini	13.1	2	3	5	0.6	0.4	0.6	0.24	bad_specialist_ignores_result_EVAL-001_20260216_164906
o4-mini	52.5	5	0	5	0.0	1.0	0.0	0.0	bad_specialist_ignores_result_EVAL-001_20260216_164906
gpt-5	161.5	5	0	5	0.0	1.0	0.0	0.0	bad_specialist_ignores_result_EVAL-001_20260216_164906
gpt-4.1-nano	7.8	2	3	5	0.6	0.4	0.6	0.24	sequential_handoffs_E2E-001_20260216_161637
gpt-4o	8.5	4	1	5	0.2	0.8	0.2	0.16000000000000003	sequential_handoffs_E2E-001_20260216_161637
gpt-4.1	11.1	0	5	5	1.0	0.0	1.0	0.0	sequential_handoffs_E2E-001_20260216_161637
gpt-4.1-mini	14.6	0	5	5	1.0	0.0	1.0	0.0	sequential_handoffs_E2E-001_20260216_161637
gpt-5.1	15.8	5	0	5	0.0	1.0	0.0	0.0	sequential_handoffs_E2E-001_20260216_161637
o4-mini	48.5	4	0	4	0.0	1.0	0.0	0.0	sequential_handoffs_E2E-001_20260216_161637
gpt-5	115.5	5	0	5	0.0	1.0	0.0	0.0	sequential_handoffs_E2E-001_20260216_161637
gpt-4.1-nano	6.3	0	5	5	1.0	0.0	1.0	0.0	good_evaluate_and_schedule_EVAL-003_20260301_155951
gpt-4o	7.4	0	5	5	1.0	0.0	1.0	0.0	good_evaluate_and_schedule_EVAL-003_20260301_155951
gpt-4.1-mini	10.3	0	5	5	1.0	0.0	1.0	0.0	good_evaluate_and_schedule_EVAL-003_20260301_155951
gpt-5.1	11.3	0	5	5	1.0	0.0	1.0	0.0	good_evaluate_and_schedule_EVAL-003_20260301_155951
gpt-4.1	11.5	0	5	5	1.0	0.0	1.0	0.0	good_evaluate_and_schedule_EVAL-003_20260301_155951
o4-mini	28.2	0	5	5	1.0	0.0	1.0	0.0	good_evaluate_and_schedule_EVAL-003_20260301_155951
gpt-5	133.3	0	5	5	1.0	0.0	1.0	0.0	good_evaluate_and_schedule_EVAL-003_20260301_155951
gpt-4.1-nano	6.0	0	5	5	1.0	0.0	1.0	0.0	good_scheduling_and_communication_SCHED-001_20260301_154344
gpt-4o	7.1	0	5	5	1.0	0.0	1.0	0.0	good_scheduling_and_communication_SCHED-001_20260301_154344
gpt-4.1	10.6	0	5	5	1.0	0.0	1.0	0.0	good_scheduling_and_communication_SCHED-001_20260301_154344
gpt-5.1	12.3	1	4	5	0.8	0.2	0.8	0.16000000000000003	good_scheduling_and_communication_SCHED-001_20260301_154344
gpt-4.1-mini	12.8	0	5	5	1.0	0.0	1.0	0.0	good_scheduling_and_communication_SCHED-001_20260301_154344
o4-mini	21.8	0	5	5	1.0	0.0	1.0	0.0	good_scheduling_and_communication_SCHED-001_20260301_154344
gpt-5	164.3	0	2	2	1.0	0.0	1.0	0.0	good_scheduling_and_communication_SCHED-001_20260301_154344
gpt-4.1-nano	7.4	1	4	5	0.8	0.2	0.8	0.16000000000000003	good_evaluation_scheduling_pipeline_EVAL-001_20260226_154321
gpt-4o	10.0	0	5	5	1.0	0.0	1.0	0.0	good_evaluation_scheduling_pipeline_EVAL-001_20260226_154321
gpt-4.1	11.5	0	5	5	1.0	0.0	1.0	0.0	good_evaluation_scheduling_pipeline_EVAL-001_20260226_154321
gpt-4.1-mini	13.1	0	5	5	1.0	0.0	1.0	0.0	good_evaluation_scheduling_pipeline_EVAL-001_20260226_154321
gpt-5.1	13.7	1	4	5	0.8	0.2	0.8	0.16000000000000003	good_evaluation_scheduling_pipeline_EVAL-001_20260226_154321
o4-mini	43.3	0	5	5	1.0	0.0	1.0	0.0	good_evaluation_scheduling_pipeline_EVAL-001_20260226_154321
gpt-5	172.7	1	2	3	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.2222222222222222	good_evaluation_scheduling_pipeline_EVAL-001_20260226_154321
gpt-4.1-nano	6.8	0	5	5	1.0	0.0	1.0	0.0	good_evaluation_scheduling_pipeline_SCHED-001_20260226_154713
gpt-4o	9.8	0	5	5	1.0	0.0	1.0	0.0	good_evaluation_scheduling_pipeline_SCHED-001_20260226_154713
gpt-4.1-mini	10.4	1	4	5	0.8	0.2	0.8	0.16000000000000003	good_evaluation_scheduling_pipeline_SCHED-001_20260226_154713
gpt-4.1	11.4	0	5	5	1.0	0.0	1.0	0.0	good_evaluation_scheduling_pipeline_SCHED-001_20260226_154713
gpt-5.1	12.8	0	5	5	1.0	0.0	1.0	0.0	good_evaluation_scheduling_pipeline_SCHED-001_20260226_154713
o4-mini	45.9	0	5	5	1.0	0.0	1.0	0.0	good_evaluation_scheduling_pipeline_SCHED-001_20260226_154713
gpt-5	106.0	5	0	5	0.0	1.0	0.0	0.0	good_evaluation_scheduling_pipeline_SCHED-001_20260226_154713
gpt-4.1-nano	9.1	0	5	5	1.0	0.0	1.0	0.0	good_full_team_sourcing_pipeline_MS-001_20260226_152549
gpt-4.1-mini	14.3	0	5	5	1.0	0.0	1.0	0.0	good_full_team_sourcing_pipeline_MS-001_20260226_152549
gpt-5.1	16.0	1	4	5	0.8	0.2	0.8	0.16000000000000003	good_full_team_sourcing_pipeline_MS-001_20260226_152549
gpt-4.1	16.3	0	5	5	1.0	0.0	1.0	0.0	good_full_team_sourcing_pipeline_MS-001_20260226_152549
o4-mini	48.5	2	3	5	0.6	0.4	0.6	0.24	good_full_team_sourcing_pipeline_MS-001_20260226_152549
gpt-4o	65.7	0	5	5	1.0	0.0	1.0	0.0	good_full_team_sourcing_pipeline_MS-001_20260226_152549
gpt-5	128.3	5	0	5	0.0	1.0	0.0	0.0	good_full_team_sourcing_pipeline_MS-001_20260226_152549
gpt-4.1-nano	7.5	0	5	5	1.0	0.0	1.0	0.0	good_full_team_sourcing_pipeline_SRC-001_20260226_151858
gpt-4.1	10.9	0	5	5	1.0	0.0	1.0	0.0	good_full_team_sourcing_pipeline_SRC-001_20260226_151858
gpt-4.1-mini	11.1	0	5	5	1.0	0.0	1.0	0.0	good_full_team_sourcing_pipeline_SRC-001_20260226_151858
gpt-5.1	17.7	4	1	5	0.2	0.8	0.2	0.16000000000000003	good_full_team_sourcing_pipeline_SRC-001_20260226_151858
o4-mini	41.3	0	5	5	1.0	0.0	1.0	0.0	good_full_team_sourcing_pipeline_SRC-001_20260226_151858
gpt-4o	65.3	0	5	5	1.0	0.0	1.0	0.0	good_full_team_sourcing_pipeline_SRC-001_20260226_151858
gpt-5	111.1	0	4	4	1.0	0.0	1.0	0.0	good_full_team_sourcing_pipeline_SRC-001_20260226_151858
gpt-4.1-nano	9.9	3	2	5	0.4	0.6	0.4	0.24	good_multichannel_hiring_pipeline_MS-001_20260226_155231
gpt-4.1-mini	16.2	0	5	5	1.0	0.0	1.0	0.0	good_multichannel_hiring_pipeline_MS-001_20260226_155231
gpt-5.1	19.6	5	0	5	0.0	1.0	0.0	0.0	good_multichannel_hiring_pipeline_MS-001_20260226_155231
gpt-4.1	70.4	0	5	5	1.0	0.0	1.0	0.0	good_multichannel_hiring_pipeline_MS-001_20260226_155231
o4-mini	92.1	3	2	5	0.4	0.6	0.4	0.24	good_multichannel_hiring_pipeline_MS-001_20260226_155231
gpt-4o	129.6	0	5	5	1.0	0.0	1.0	0.0	good_multichannel_hiring_pipeline_MS-001_20260226_155231
gpt-5	150.1	5	0	5	0.0	1.0	0.0	0.0	good_multichannel_hiring_pipeline_MS-001_20260226_155231
gpt-4.1-nano	5.9	0	5	5	1.0	0.0	1.0	0.0	bad_structure_wrong_order_SRC-001_20260301_141822
gpt-4.1	7.1	5	0	5	0.0	1.0	0.0	0.0	bad_structure_wrong_order_SRC-001_20260301_141822
gpt-4o	7.9	5	0	5	0.0	1.0	0.0	0.0	bad_structure_wrong_order_SRC-001_20260301_141822
gpt-4.1-mini	9.7	0	5	5	1.0	0.0	1.0	0.0	bad_structure_wrong_order_SRC-001_20260301_141822
gpt-5.1	10.6	5	0	5	0.0	1.0	0.0	0.0	bad_structure_wrong_order_SRC-001_20260301_141822
o4-mini	27.8	5	0	5	0.0	1.0	0.0	0.0	bad_structure_wrong_order_SRC-001_20260301_141822
gpt-5	94.6	5	0	5	0.0	1.0	0.0	0.0	bad_structure_wrong_order_SRC-001_20260301_141822
gpt-4.1-nano	6.2	5	0	5	0.0	1.0	0.0	0.0	bad_structure_missing_agents_EVAL-001_20260301_141909
gpt-4o	7.2	5	0	5	0.0	1.0	0.0	0.0	bad_structure_missing_agents_EVAL-001_20260301_141909
gpt-4.1	9.5	5	0	5	0.0	1.0	0.0	0.0	bad_structure_missing_agents_EVAL-001_20260301_141909
gpt-4.1-mini	11.2	5	0	5	0.0	1.0	0.0	0.0	bad_structure_missing_agents_EVAL-001_20260301_141909
gpt-5.1	12.8	5	0	5	0.0	1.0	0.0	0.0	bad_structure_missing_agents_EVAL-001_20260301_141909
o4-mini	23.5	5	0	5	0.0	1.0	0.0	0.0	bad_structure_missing_agents_EVAL-001_20260301_141909
gpt-5	95.1	5	0	5	0.0	1.0	0.0	0.0	bad_structure_missing_agents_EVAL-001_20260301_141909
gpt-4.1-nano	6.4	0	5	5	1.0	0.0	1.0	0.0	bad_structure_wrong_parallel_agents_SRC-001_20260301_142218
gpt-4o	7.8	5	0	5	0.0	1.0	0.0	0.0	bad_structure_wrong_parallel_agents_SRC-001_20260301_142218
gpt-4.1	10.7	4	1	5	0.2	0.8	0.2	0.16000000000000003	bad_structure_wrong_parallel_agents_SRC-001_20260301_142218
gpt-4.1-mini	11.4	0	5	5	1.0	0.0	1.0	0.0	bad_structure_wrong_parallel_agents_SRC-001_20260301_142218
gpt-5.1	14.8	5	0	5	0.0	1.0	0.0	0.0	bad_structure_wrong_parallel_agents_SRC-001_20260301_142218
o4-mini	30.8	5	0	5	0.0	1.0	0.0	0.0	bad_structure_wrong_parallel_agents_SRC-001_20260301_142218
gpt-5	160.9	2	0	2	0.0	1.0	0.0	0.0	bad_structure_wrong_parallel_agents_SRC-001_20260301_142218
gpt-4.1-nano	7.1	5	0	5	0.0	1.0	0.0	0.0	bad_structure_reversed_dag_SRC-001_20260301_142612
gpt-4o	7.5	5	0	5	0.0	1.0	0.0	0.0	bad_structure_reversed_dag_SRC-001_20260301_142612
gpt-5.1	10.7	5	0	5	0.0	1.0	0.0	0.0	bad_structure_reversed_dag_SRC-001_20260301_142612
gpt-4.1-mini	11.1	0	5	5	1.0	0.0	1.0	0.0	bad_structure_reversed_dag_SRC-001_20260301_142612
gpt-4.1	12.9	5	0	5	0.0	1.0	0.0	0.0	bad_structure_reversed_dag_SRC-001_20260301_142612
o4-mini	30.8	5	0	5	0.0	1.0	0.0	0.0	bad_structure_reversed_dag_SRC-001_20260301_142612
gpt-5	129.4	5	0	5	0.0	1.0	0.0	0.0	bad_structure_reversed_dag_SRC-001_20260301_142612
gpt-4.1-nano	6.1	0	5	5	1.0	0.0	1.0	0.0	bad_structure_missing_dag_node_EVAL-001_20260301_142641
gpt-4o	6.7	0	5	5	1.0	0.0	1.0	0.0	bad_structure_missing_dag_node_EVAL-001_20260301_142641
gpt-4.1	7.0	0	5	5	1.0	0.0	1.0	0.0	bad_structure_missing_dag_node_EVAL-001_20260301_142641
gpt-4.1-mini	10.1	0	5	5	1.0	0.0	1.0	0.0	bad_structure_missing_dag_node_EVAL-001_20260301_142641
gpt-5.1	20.0	5	0	5	0.0	1.0	0.0	0.0	bad_structure_missing_dag_node_EVAL-001_20260301_142641
o4-mini	46.8	5	0	5	0.0	1.0	0.0	0.0	bad_structure_missing_dag_node_EVAL-001_20260301_142641
gpt-5	166.0	3	0	3	0.0	1.0	0.0	0.0	bad_structure_missing_dag_node_EVAL-001_20260301_142641
